player_id,role,fname,lname,name,mapped_role,position,f_pos
505371c8,Middle-order batter,Abdul,Rehman,Abdul Rehman,Batter,,Batter
390ff45b,Allrounder,Abdul,Razzaq,Abdul Razzaq,Allrounder,,Allrounder
2053da82,Unknown,Puja,Chakraborty,Puja Chakraborty,,,Allrounder
c9f851b0,Bowler,Julian,Mey,Julian Lorenzo de Mey,Bowler,,Bowler
ddc597bd,Allrounder,Andrew,Crook,Andrew Richard Crook,Allrounder,,Allrounder
8d70ab3e,Unknown,Bishawnath,Halder,Bishawnath Halder,,,Allrounder
d84a687d,Unknown,RK,Chittick,RK Chittick,,,
443b47a6,Wicketkeeper batter,Harry,Duke,Harry George Duke,Wicketkeeper,,Wicketkeeper
b63e358a,Top-order batter,Ricky,Bhui,Ricky Kannakumar Bhui,Batter,,Batter
6d7fd28b,Unknown,Jamie,Dass,Jamie Dass,,,
ca4db40e,Unknown,Fazil,Sattaur,Abdul Fazil Sattaur,,,Allrounder
568e5a4a,Bowler,Alex,Cusack,Alex Richard Cusack,Bowler,,Bowler
53bc7b84,Opening batter,Aftab,Ahmed,Aftab Ahmed Chowdhury,Batter,,Batter
cae815a0,Unknown,Bismillah,Shinwari,Bismillah Jan Shinwari,,,
30fd5378,Unknown,Rob,Kemming,Rob Kemming,,,
94ed8d37,Bowling allrounder,Aftab,Ahmed,Aftab Ahmed,Allrounder,,Allrounder
a69d2a02,Unknown,Howell,Gillett,Howell Gillett,,,Allrounder
96275259,Unknown,Benjamin,Ito-Davis,Benjamin Ito-Davis,,,Allrounder
5a6b2c1d,Unknown,Rethabie,Khasana,Rethabie Khasana,,,Allrounder
de8d3876,Wicketkeeper batter,Mahesh,Rawat,Mahesh Rawat,Wicketkeeper,,Wicketkeeper
c16d471c,Unknown,Herbert,Baldwin,Herbert George Baldwin,,,
9c5fed24,Unknown,Pierre,Chilia,Pierre Chilia,,,
6e6fb538,Middle-order batter,Leus,Plooy,Jacobus Leus du Plooy,Batter,,Batter
2adb9943,Unknown,Jason,Davidson,Jason Davidson,,,Allrounder
fd624008,Unknown,Hiralal,Gaekwad,Hiralal Ghasulal Gaekwad,,,
cd143bca,Bowling allrounder,Joe,Leach,Joseph Leach,Allrounder,,Allrounder
aa007431,Unknown,Tony,Dell,Anthony Ross Dell,,,
21267b60,Unknown,Paul,Chin,Paul Chin,,,Allrounder
764d8336,Unknown,Payal,Chilongia,Payal Chilongia,,,Allrounder
0afec578,Unknown,Nummy,Deane,Hubert Gouvaine Deane,,,
3b770527,Allrounder,Bismah,Maroof,Bismah Maroof,Allrounder,,Allrounder
ad78df1c,Unknown,Marica,Ratuki,Marica Ratuki,,,Allrounder
a969dc4c,Unknown,Methnara,Rathnayake,Methnara Rathnayake,,,Wicketkeeper
c6e0c96a,Unknown,Robin,Bynoe,Michael Robin Bynoe,,,
09a2da4e,Unknown,Burton,Jacobs,Burton Jacobs,,,
20672246,Bowler,Richard,Illingworth,Richard Keith Illingworth,Bowler,,Bowler
511871c6,Unknown,William,Perchard,William George Perchard,,Allrounder,Allrounder
8ac93ca2,Opening batter,Prashant,Chopra,Prashant Chopra,Batter,,Batter
eadc8924,Bowler,Arundhati,Reddy,Arundhati Reddy,Bowler,,Bowler
c21f8d51,Unknown,Josefa,Balaeicicia,Josefa Dabea Baleicicia,,,
e92f5a4d,Unknown,Niroshan,Bandaratilleke,Mapa Rallalage Chandima Niroshan Bandaratilleke,,,
10f7b52b,Unknown,James,Baker,James David Baker,,Bowler,Bowler
51d1d312,Allrounder,Jack,Lees,Jack Lees,Allrounder,,Allrounder
507acf2e,Bowler,Piepa,Cleary,Piepa Cleary,Bowler,,Bowler
41bc340b,Unknown,Aftab,Baloch,Aftab Baloch,,,
9049ab63,Bowler,Tilly,Corteen-Coleman,Matilda Rose Corteen-Coleman,Bowler,,Bowler
76d536f4,Unknown,Aftab,Gul,Aftab Gul Khan,,,
7004d9d4,Unknown,Edwin,Evans,Edwin Evans,,,
08f30f9d,Unknown,R,Kelly,R Kelly,,,
365df3f9,Unknown,Abdul,Sadiq,Abdul Sadiq,,Allrounder,Allrounder
a240d457,Unknown,Harold,Gimblett,Harold Gimblett,,,
19845ff5,Unknown,Areeb,Quadir,Areeb Abdul Quadir,,Batsman,Wicketkeeper
7b9b9aef,Opening batter,Abdul,Shakoor,Sher Muhammad Abdul Shakoor,Batter,,Wicketkeeper
f93e36b0,Unknown,M,Razick,M H Razick,,,
a5ac694f,Bowler,Brent,Arnel,Brent John Arnel,Bowler,,Bowler
ff2d61b3,Unknown,Roy,Kilner,Roy Kilner,,,
ba1ae245,Unknown,Farhat,Mahmood,Farhat Mahmood,,,
44482748,Unknown,Thilip,Thilappan,Thilip Omamdurai Thilappan,,,Allrounder
6cc1d918,Unknown,Kerrin,Klaaste,Kerrin Klaaste,,,
ff2dd5e4,Unknown,Abdul,Salam,Abdul Salam MS,,Batsman,Batter
a2316f90,Bowler,Junaid,Dawood,Junaid Dawood,Bowler,,Bowler
bdadf7da,Top-order batter,Joe,Denly,Joseph Liam Denly,Batter,,Batter
49693035,Allrounder,Tammy,Chu,Tammy Oi Wing Chu,Allrounder,,Allrounder
790e14d3,Unknown,Mark,Benson,Mark Richard Benson,,,
142d57ca,Unknown,Farid,Dalwai,Farid Khan Dalwai,,,
374bb5e7,Bowler,Kyle,Klein,Kyle Klein,Bowler,,Bowler
10b58586,Top-order batter,Abhimanyu,Easwaran,Abhimanyu Ranganathan Parmashwaran Easwaran,Batter,,Batter
68019a70,Unknown,Edward,Beard,Edward Forrest Beard,,Batsman,Batter
